Initial temperature = 500.0
Initial alpha = 0.99
c2_2_5 100.0/0.97 gap = 6.322471192484761
c2_2_5 100.0/0.97 gap = 6.507930382947018
c2_2_9 100.0/0.97 gap = 4.8609983333788715
c2_2_9 100.0/0.97 gap = 4.5946012404032635
c2_2_9 100.0/0.97 gap = 4.452889265320617
c2_2_9 100.0/0.97 gap = 4.582197207726566
c2_2_9 100.0/0.97 gap = 4.984537763084794
r1_2_1 100.0/0.97 gap = 1.9472332366939735
r1_2_1 100.0/0.97 gap = 1.8751514910819382
r1_2_1 100.0/0.97 gap = 1.764520464621427
r1_2_1 100.0/0.97 gap = 1.7694430102986782
r1_2_1 100.0/0.97 gap = 1.639794026475146
r1_2_5 100.0/0.97 gap = 1.5601462129240593
r1_2_5 100.0/0.97 gap = 1.9794053351380059
r1_2_5 100.0/0.97 gap = 1.4478006120515872
r1_2_5 100.0/0.97 gap = 1.7976282054403028
r1_2_5 100.0/0.97 gap = 1.8641445911009624
r1_2_9 100.0/0.97 gap = 1.877844640986233
r1_2_9 100.0/0.97 gap = 2.3600868896700935
r1_2_9 100.0/0.97 gap = 2.1286131394625323
r1_2_9 100.0/0.97 gap = 2.142352154898093
r1_2_9 100.0/0.97 gap = 2.54633239198918
r2_2_1 100.0/0.97 gap = 2.721973451761704
r2_2_1 100.0/0.97 gap = 2.8921101410612158
r2_2_1 100.0/0.97 gap = 2.927537718930398
r2_2_1 100.0/0.97 gap = 2.974684151357524
r2_2_1 100.0/0.97 gap = 2.904581812828455
r2_2_5 100.0/0.97 gap = 3.216455436781031
r2_2_5 100.0/0.97 gap = 3.2588756649508905
r2_2_5 100.0/0.97 gap = 3.0246109795977794
r2_2_5 100.0/0.97 gap = 3.025567380204883
r2_2_5 100.0/0.97 gap = 2.9579361944166425
r2_2_9 100.0/0.97 gap = 2.897174680793264
r2_2_9 100.0/0.97 gap = 3.080691064798645
r2_2_9 100.0/0.97 gap = 2.9902200488997557
r2_2_9 100.0/0.97 gap = 3.039171550173997
r2_2_9 100.0/0.97 gap = 2.8970388481390956
=======================
Tuned temperature = 100.0
Tuned alpha = 0.98
Avg. train set gap = 3.85
Avg. test set gap = 4.17
Tuning run-time = 5.0h 7.0m 15.0s
